year,state_fips,state_abbreviation,median_medical_debt
2011,1,AL,776
2012,1,AL,746
2013,1,AL,755
2014,1,AL,795
2015,1,AL,836
2016,1,AL,844
2017,1,AL,849
2018,1,AL,971
2019,1,AL,1138
2020,1,AL,1151
2021,1,AL,1109
2022,1,AL,868
2023,1,AL,1370
2011,2,AK,1241
2012,2,AK,1334
2013,2,AK,1342
2014,2,AK,1521
2015,2,AK,1595
2016,2,AK,1619
2017,2,AK,1760
2018,2,AK,1597
2019,2,AK,1475
2020,2,AK,1552
2021,2,AK,1533
2022,2,AK,584
2023,2,AK,1406
2011,4,AZ,914
2012,4,AZ,924
2013,4,AZ,971
2014,4,AZ,1037
2015,4,AZ,1116
2016,4,AZ,1097
2017,4,AZ,1106
2018,4,AZ,1078
2019,4,AZ,1118
2020,4,AZ,1085
2021,4,AZ,1033
2022,4,AZ,726
2023,4,AZ,1395
2011,5,AR,917
2012,5,AR,839
2013,5,AR,867
2014,5,AR,915
2015,5,AR,926
2016,5,AR,889
2017,5,AR,794
2018,5,AR,723
2019,5,AR,787
2020,5,AR,756
2021,5,AR,721
2022,5,AR,578
2023,5,AR,1383
2011,6,CA,899
2012,6,CA,962
2013,6,CA,968
2014,6,CA,1003
2015,6,CA,965
2016,6,CA,1009
2017,6,CA,989
2018,6,CA,898
2019,6,CA,940
2020,6,CA,895
2021,6,CA,832
2022,6,CA,730
2023,6,CA,1963
2011,8,CO,1048
2012,8,CO,1047
2013,8,CO,1076
2014,8,CO,1048
2015,8,CO,972
2016,8,CO,972
2017,8,CO,920
2018,8,CO,916
2019,8,CO,930
2020,8,CO,874
2021,8,CO,847
2022,8,CO,702
2023,8,CO,NA
2011,9,CT,528
2012,9,CT,549
2013,9,CT,531
2014,9,CT,503
2015,9,CT,526
2016,9,CT,545
2017,9,CT,537
2018,9,CT,535
2019,9,CT,601
2020,9,CT,612
2021,9,CT,598
2022,9,CT,501
2023,9,CT,1260
2011,10,DE,744
2012,10,DE,741
2013,10,DE,748
2014,10,DE,720
2015,10,DE,770
2016,10,DE,683
2017,10,DE,561
2018,10,DE,729
2019,10,DE,894
2020,10,DE,879
2021,10,DE,837
2022,10,DE,725
2023,10,DE,1666
2011,11,DC,485
2012,11,DC,523
2013,11,DC,514
2014,11,DC,561
2015,11,DC,515
2016,11,DC,574
2017,11,DC,638
2018,11,DC,592
2019,11,DC,659
2020,11,DC,668
2021,11,DC,670
2022,11,DC,612
2023,11,DC,1159
2011,12,FL,994
2012,12,FL,937
2013,12,FL,969
2014,12,FL,1009
2015,12,FL,1005
2016,12,FL,993
2017,12,FL,1040
2018,12,FL,1118
2019,12,FL,1195
2020,12,FL,1202
2021,12,FL,1131
2022,12,FL,995
2023,12,FL,1593
2011,13,GA,876
2012,13,GA,874
2013,13,GA,887
2014,13,GA,938
2015,13,GA,959
2016,13,GA,1028
2017,13,GA,1026
2018,13,GA,980
2019,13,GA,1053
2020,13,GA,1101
2021,13,GA,1085
2022,13,GA,890
2023,13,GA,1453
2011,15,HI,646
2012,15,HI,584
2013,15,HI,501
2014,15,HI,501
2015,15,HI,535
2016,15,HI,494
2017,15,HI,489
2018,15,HI,282
2019,15,HI,360
2020,15,HI,517
2021,15,HI,485
2022,15,HI,557
2023,15,HI,1440
2011,16,ID,1185
2012,16,ID,1241
2013,16,ID,1299
2014,16,ID,1275
2015,16,ID,1197
2016,16,ID,1023
2017,16,ID,858
2018,16,ID,958
2019,16,ID,1200
2020,16,ID,1244
2021,16,ID,1051
2022,16,ID,777
2023,16,ID,1447
2011,17,IL,821
2012,17,IL,859
2013,17,IL,844
2014,17,IL,837
2015,17,IL,779
2016,17,IL,750
2017,17,IL,670
2018,17,IL,673
2019,17,IL,715
2020,17,IL,745
2021,17,IL,730
2022,17,IL,664
2023,17,IL,1370
2011,18,IN,904
2012,18,IN,961
2013,18,IN,1010
2014,18,IN,973
2015,18,IN,935
2016,18,IN,931
2017,18,IN,929
2018,18,IN,923
2019,18,IN,963
2020,18,IN,957
2021,18,IN,896
2022,18,IN,779
2023,18,IN,1375
2011,19,IA,731
2012,19,IA,799
2013,19,IA,757
2014,19,IA,769
2015,19,IA,656
2016,19,IA,651
2017,19,IA,607
2018,19,IA,649
2019,19,IA,725
2020,19,IA,696
2021,19,IA,654
2022,19,IA,524
2023,19,IA,1301
2011,20,KS,707
2012,20,KS,719
2013,20,KS,727
2014,20,KS,732
2015,20,KS,744
2016,20,KS,744
2017,20,KS,761
2018,20,KS,891
2019,20,KS,1073
2020,20,KS,965
2021,20,KS,946
2022,20,KS,877
2023,20,KS,1517
2011,21,KY,798
2012,21,KY,847
2013,21,KY,842
2014,21,KY,840
2015,21,KY,837
2016,21,KY,829
2017,21,KY,726
2018,21,KY,557
2019,21,KY,635
2020,21,KY,589
2021,21,KY,585
2022,21,KY,489
2023,21,KY,1186
2011,22,LA,817
2012,22,LA,816
2013,22,LA,862
2014,22,LA,923
2015,22,LA,956
2016,22,LA,922
2017,22,LA,876
2018,22,LA,846
2019,22,LA,1031
2020,22,LA,994
2021,22,LA,927
2022,22,LA,769
2023,22,LA,1517
2011,23,ME,807
2012,23,ME,844
2013,23,ME,794
2014,23,ME,862
2015,23,ME,913
2016,23,ME,896
2017,23,ME,934
2018,23,ME,885
2019,23,ME,1013
2020,23,ME,1098
2021,23,ME,964
2022,23,ME,933
2023,23,ME,1681
2011,24,MD,607
2012,24,MD,606
2013,24,MD,619
2014,24,MD,583
2015,24,MD,543
2016,24,MD,584
2017,24,MD,629
2018,24,MD,604
2019,24,MD,625
2020,24,MD,600
2021,24,MD,587
2022,24,MD,538
2023,24,MD,1082
2011,25,MA,406
2012,25,MA,445
2013,25,MA,439
2014,25,MA,450
2015,25,MA,450
2016,25,MA,444
2017,25,MA,421
2018,25,MA,430
2019,25,MA,454
2020,25,MA,452
2021,25,MA,455
2022,25,MA,458
2023,25,MA,1438
2011,26,MI,706
2012,26,MI,709
2013,26,MI,712
2014,26,MI,691
2015,26,MI,702
2016,26,MI,682
2017,26,MI,633
2018,26,MI,603
2019,26,MI,604
2020,26,MI,572
2021,26,MI,515
2022,26,MI,424
2023,26,MI,1020
2011,27,MN,427
2012,27,MN,486
2013,27,MN,458
2014,27,MN,447
2015,27,MN,422
2016,27,MN,435
2017,27,MN,441
2018,27,MN,437
2019,27,MN,484
2020,27,MN,492
2021,27,MN,478
2022,27,MN,444
2023,27,MN,1293
2011,28,MS,1011
2012,28,MS,995
2013,28,MS,969
2014,28,MS,945
2015,28,MS,975
2016,28,MS,948
2017,28,MS,893
2018,28,MS,987
2019,28,MS,1106
2020,28,MS,1037
2021,28,MS,943
2022,28,MS,728
2023,28,MS,1484
2011,29,MO,885
2012,29,MO,857
2013,29,MO,923
2014,29,MO,943
2015,29,MO,965
2016,29,MO,896
2017,29,MO,921
2018,29,MO,948
2019,29,MO,1060
2020,29,MO,1029
2021,29,MO,961
2022,29,MO,808
2023,29,MO,1470
2011,30,MT,1051
2012,30,MT,1125
2013,30,MT,1226
2014,30,MT,1174
2015,30,MT,1125
2016,30,MT,1103
2017,30,MT,952
2018,30,MT,932
2019,30,MT,950
2020,30,MT,918
2021,30,MT,859
2022,30,MT,713
2023,30,MT,1727
2011,31,NE,765
2012,31,NE,831
2013,31,NE,874
2014,31,NE,928
2015,31,NE,753
2016,31,NE,732
2017,31,NE,697
2018,31,NE,584
2019,31,NE,726
2020,31,NE,806
2021,31,NE,883
2022,31,NE,659
2023,31,NE,1494
2011,32,NV,1195
2012,32,NV,1213
2013,32,NV,1288
2014,32,NV,1267
2015,32,NV,1183
2016,32,NV,1073
2017,32,NV,1044
2018,32,NV,940
2019,32,NV,1071
2020,32,NV,1123
2021,32,NV,975
2022,32,NV,628
2023,32,NV,1875
2011,33,NH,615
2012,33,NH,571
2013,33,NH,559
2014,33,NH,579
2015,33,NH,643
2016,33,NH,579
2017,33,NH,510
2018,33,NH,556
2019,33,NH,640
2020,33,NH,643
2021,33,NH,559
2022,33,NH,641
2023,33,NH,1269
2011,34,NJ,619
2012,34,NJ,597
2013,34,NJ,608
2014,34,NJ,626
2015,34,NJ,635
2016,34,NJ,613
2017,34,NJ,658
2018,34,NJ,619
2019,34,NJ,651
2020,34,NJ,625
2021,34,NJ,562
2022,34,NJ,502
2023,34,NJ,1159
2011,35,NM,776
2012,35,NM,842
2013,35,NM,879
2014,35,NM,904
2015,35,NM,959
2016,35,NM,984
2017,35,NM,900
2018,35,NM,887
2019,35,NM,952
2020,35,NM,885
2021,35,NM,834
2022,35,NM,740
2023,35,NM,1550
2011,36,NY,587
2012,36,NY,526
2013,36,NY,523
2014,36,NY,541
2015,36,NY,550
2016,36,NY,561
2017,36,NY,543
2018,36,NY,541
2019,36,NY,569
2020,36,NY,563
2021,36,NY,522
2022,36,NY,466
2023,36,NY,1181
2011,37,NC,940
2012,37,NC,773
2013,37,NC,871
2014,37,NC,924
2015,37,NC,950
2016,37,NC,909
2017,37,NC,801
2018,37,NC,847
2019,37,NC,894
2020,37,NC,828
2021,37,NC,851
2022,37,NC,781
2023,37,NC,1528
2011,38,ND,965
2012,38,ND,1067
2013,38,ND,927
2014,38,ND,920
2015,38,ND,866
2016,38,ND,803
2017,38,ND,830
2018,38,ND,757
2019,38,ND,812
2020,38,ND,792
2021,38,ND,651
2022,38,ND,568
2023,38,ND,1286
2011,39,OH,706
2012,39,OH,687
2013,39,OH,688
2014,39,OH,653
2015,39,OH,650
2016,39,OH,587
2017,39,OH,614
2018,39,OH,644
2019,39,OH,718
2020,39,OH,736
2021,39,OH,739
2022,39,OH,641
2023,39,OH,1313
2011,40,OK,882
2012,40,OK,855
2013,40,OK,908
2014,40,OK,883
2015,40,OK,907
2016,40,OK,858
2017,40,OK,917
2018,40,OK,1040
2019,40,OK,1216
2020,40,OK,1349
2021,40,OK,1095
2022,40,OK,886
2023,40,OK,1621
2011,41,OR,1025
2012,41,OR,1081
2013,41,OR,1070
2014,41,OR,1126
2015,41,OR,1044
2016,41,OR,995
2017,41,OR,932
2018,41,OR,785
2019,41,OR,698
2020,41,OR,676
2021,41,OR,695
2022,41,OR,623
2023,41,OR,1372
2011,42,PA,657
2012,42,PA,616
2013,42,PA,628
2014,42,PA,606
2015,42,PA,668
2016,42,PA,663
2017,42,PA,593
2018,42,PA,621
2019,42,PA,633
2020,42,PA,656
2021,42,PA,618
2022,42,PA,512
2023,42,PA,1268
2011,44,RI,400
2012,44,RI,445
2013,44,RI,394
2014,44,RI,418
2015,44,RI,445
2016,44,RI,617
2017,44,RI,469
2018,44,RI,568
2019,44,RI,644
2020,44,RI,652
2021,44,RI,586
2022,44,RI,588
2023,44,RI,1340
2011,45,SC,908
2012,45,SC,853
2013,45,SC,850
2014,45,SC,943
2015,45,SC,901
2016,45,SC,931
2017,45,SC,985
2018,45,SC,955
2019,45,SC,1168
2020,45,SC,1107
2021,45,SC,1102
2022,45,SC,832
2023,45,SC,1753
2011,46,SD,746
2012,46,SD,691
2013,46,SD,743
2014,46,SD,730
2015,46,SD,672
2016,46,SD,621
2017,46,SD,594
2018,46,SD,658
2019,46,SD,738
2020,46,SD,816
2021,46,SD,768
2022,46,SD,688
2023,46,SD,1615
2011,47,TN,908
2012,47,TN,860
2013,47,TN,872
2014,47,TN,895
2015,47,TN,900
2016,47,TN,938
2017,47,TN,937
2018,47,TN,1037
2019,47,TN,1130
2020,47,TN,1117
2021,47,TN,1091
2022,47,TN,951
2023,47,TN,1392
2011,48,TX,899
2012,48,TX,905
2013,48,TX,926
2014,48,TX,986
2015,48,TX,1016
2016,48,TX,1079
2017,48,TX,1032
2018,48,TX,1006
2019,48,TX,1158
2020,48,TX,1227
2021,48,TX,1113
2022,48,TX,878
2023,48,TX,1628
2011,49,UT,1130
2012,49,UT,1222
2013,49,UT,1199
2014,49,UT,1030
2015,49,UT,1120
2016,49,UT,1118
2017,49,UT,1080
2018,49,UT,1210
2019,49,UT,1238
2020,49,UT,1187
2021,49,UT,1137
2022,49,UT,572
2023,49,UT,1567
2011,50,VT,599
2012,50,VT,628
2013,50,VT,583
2014,50,VT,623
2015,50,VT,659
2016,50,VT,677
2017,50,VT,747
2018,50,VT,569
2019,50,VT,597
2020,50,VT,707
2021,50,VT,573
2022,50,VT,457
2023,50,VT,1054
2011,51,VA,719
2012,51,VA,710
2013,51,VA,760
2014,51,VA,749
2015,51,VA,762
2016,51,VA,739
2017,51,VA,791
2018,51,VA,825
2019,51,VA,878
2020,51,VA,889
2021,51,VA,847
2022,51,VA,742
2023,51,VA,1436
2011,53,WA,843
2012,53,WA,906
2013,53,WA,930
2014,53,WA,963
2015,53,WA,784
2016,53,WA,809
2017,53,WA,712
2018,53,WA,678
2019,53,WA,745
2020,53,WA,692
2021,53,WA,681
2022,53,WA,564
2023,53,WA,1353
2011,54,WV,1011
2012,54,WV,953
2013,54,WV,1035
2014,54,WV,985
2015,54,WV,933
2016,54,WV,788
2017,54,WV,847
2018,54,WV,825
2019,54,WV,778
2020,54,WV,695
2021,54,WV,706
2022,54,WV,574
2023,54,WV,1406
2011,55,WI,1023
2012,55,WI,1052
2013,55,WI,1029
2014,55,WI,1055
2015,55,WI,1141
2016,55,WI,1124
2017,55,WI,1210
2018,55,WI,1232
2019,55,WI,1228
2020,55,WI,1043
2021,55,WI,1037
2022,55,WI,977
2023,55,WI,1662
2011,56,WY,1417
2012,56,WY,1399
2013,56,WY,1461
2014,56,WY,1400
2015,56,WY,1280
2016,56,WY,1421
2017,56,WY,1448
2018,56,WY,1519
2019,56,WY,1617
2020,56,WY,1765
2021,56,WY,1812
2022,56,WY,1539
2023,56,WY,2516